name,lat,lon,住所,URL,備考
本郷消防署,35.70848711547939,139.76310929346144,文京区本郷７丁目１−１１,http://www.tfd.metro.tokyo.jp/hp-hongou/,このように任意の項目を追加できます
小石川消防署,35.71920249908192,139.74280251223416,文京区白山３丁目３−１,http://www.tfd.metro.tokyo.jp/hp-koisikawa/,
